underlying,run_id,track,dir,spot_pnl,mode_a_pnl,mode_a_legs,mode_b_pnl,mode_b_coverage_skip,mode_a_skip_reason
SOL_USDC,SOL_USDC-0088,opt_delta,1,48804.2767511911,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0088,opt_budget,1,48804.2767511911,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0089,opt_delta,1,151014.97520385403,355145.08177418984,2,0.0,True,
SOL_USDC,SOL_USDC-0089,opt_budget,1,151014.97520385403,283827.8163928974,2,0.0,True,
SOL_USDC,SOL_USDC-0090,opt_delta,1,-6867.586919278008,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0090,opt_budget,1,-6867.586919278008,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0091,opt_delta,-1,-5075.004116701247,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0091,opt_budget,-1,-5075.004116701247,0.0,0,0.0,False,no_option_entry
SOL_USDC,SOL_USDC-0092,opt_delta,1,-12456.809136879292,-50315.355893264736,1,-50001.82036923754,False,
SOL_USDC,SOL_USDC-0092,opt_budget,1,-12456.809136879292,-25909.245190392066,1,-25747.794106052108,False,
SOL_USDC,SOL_USDC-0093,opt_delta,-1,-72617.6992590462,-32345.54049793067,1,-38194.97043578357,False,
SOL_USDC,SOL_USDC-0093,opt_budget,-1,-72617.6992590462,-20526.996705931117,1,-24239.13838659227,False,
SOL_USDC,SOL_USDC-0094,opt_delta,1,-78344.12883770019,-112898.53037984637,1,-110962.42006539505,False,
SOL_USDC,SOL_USDC-0094,opt_budget,1,-78344.12883770019,-43700.19194139052,1,-42950.77215641579,False,
SOL_USDC,SOL_USDC-0095,opt_delta,-1,126987.25225541282,116958.74695143319,2,109978.03022238059,False,
SOL_USDC,SOL_USDC-0095,opt_budget,-1,126987.25225541282,54560.85442302571,2,50860.621490720616,False,
SOL_USDC,SOL_USDC-0096,opt_delta,-1,20740.678299251278,-3027.1090620174946,1,16551.60829470164,False,
SOL_USDC,SOL_USDC-0096,opt_budget,-1,20740.678299251278,-1723.8622675534716,1,9425.723494595593,False,
SOL_USDC,SOL_USDC-0097,opt_delta,1,67118.51236829632,18274.563437593664,1,0.0,True,
SOL_USDC,SOL_USDC-0097,opt_budget,1,67118.51236829632,8310.702390172599,1,0.0,True,
SOL_USDC,SOL_USDC-0098,opt_delta,-1,-17934.91482896133,-27071.66622676311,1,-27310.799247920804,False,
SOL_USDC,SOL_USDC-0098,opt_budget,-1,-17934.91482896133,-13816.26429132223,1,-13938.307943656815,False,
SOL_USDC,SOL_USDC-0099,opt_delta,-1,-15864.930149909816,-53961.37439423896,1,-48166.39763060691,False,
