underlying,run_id,track,leg_planner_pnl,nautilus_pnl,n_legs,error
SOL_USDC,SOL_USDC-0120,opt_delta,-17371.935794127116,-17372.3683905465,1,
SOL_USDC,SOL_USDC-0120,opt_budget,-11773.271672048115,-11773.564850379296,1,
SOL_USDC,SOL_USDC-0121,opt_delta,-26586.838402046265,-26585.69239497256,1,
SOL_USDC,SOL_USDC-0121,opt_budget,-22003.46514049244,-22002.5166965149,1,
SOL_USDC,SOL_USDC-0122,opt_delta,-23060.32888252772,-23060.437865364966,1,
SOL_USDC,SOL_USDC-0122,opt_budget,-27388.831554567052,-27388.960993848865,1,
SOL_USDC,SOL_USDC-0123,opt_delta,95046.3543913617,95045.43009386753,1,
SOL_USDC,SOL_USDC-0123,opt_budget,69458.00471713682,69457.32925872007,1,
SOL_USDC,SOL_USDC-0124,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0124,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0125,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0125,opt_budget,0.0,,0,
SOL_USDC,SOL_USDC-0126,opt_delta,0.0,,0,
SOL_USDC,SOL_USDC-0126,opt_budget,0.0,,0,
